anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,17H00677,UNIDAD EDUCATIVA PARTICULAR SANTO DOMINGO DE GUZMAN,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,89
2023-2024 Inicio,17H01977,UNIDAD EDUCATIVA PARTICULAR SANTO DOMINGO SAVIO DE POMASQUI,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,35
2023-2024 Inicio,07H00403,UNIDAD EDUCATIVA PARTICULAR SANTO TOMAS DE AQUINO,EL ORO,7,ARENILLAS,702,"Educación Inicial, Educación General Básica y Bachillerato",Particular,27
2023-2024 Inicio,09H00562,UNIDAD EDUCATIVA PARTICULAR SANTO TOMAS DE AQUINO,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,94
2023-2024 Inicio,09H05406,UNIDAD EDUCATIVA PARTICULAR SANTO TOMÁS DE AQUINO,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,48
2023-2024 Inicio,13H01445,UNIDAD EDUCATIVA PARTICULAR SEGUNDO REINALDO CHIRIBOGA RIVERA,MANABI,13,EL CARMEN,1304,"Educación Inicial, Educación General Básica y Bachillerato",Particular,5
2023-2024 Inicio,09H00265,UNIDAD EDUCATIVA PARTICULAR SEMILLITA DE GUAYAQUIL,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,11
2023-2024 Inicio,17H00333,UNIDAD EDUCATIVA PARTICULAR SENECA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,17
2023-2024 Inicio,09H02146,UNIDAD EDUCATIVA PARTICULAR SERGIO NUÑEZ SANTAMARIA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,32
2023-2024 Inicio,17H00425,UNIDAD EDUCATIVA PARTICULAR SHALON,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,07H00308,UNIDAD EDUCATIVA PARTICULAR SIETE DE MAYO,EL ORO,7,MACHALA,701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,36
2023-2024 Inicio,13H03191,UNIDAD EDUCATIVA PARTICULAR SIMON BOLIVAR,MANABI,13,SANTA ANA,1313,"Educación Inicial, Educación General Básica y Bachillerato",Particular,29
2023-2024 Inicio,21H00136,UNIDAD EDUCATIVA PARTICULAR SIMON BOLIVAR,SUCUMBIOS,21,LAGO AGRIO,2101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,25
2023-2024 Inicio,01H01644,UNIDAD EDUCATIVA PARTICULAR SINDICATO DE CHOFERES DE CUENCA,AZUAY,1,CUENCA,101,Educación General Básica y Bachillerato,Particular,35
2023-2024 Inicio,09H00457,UNIDAD EDUCATIVA PARTICULAR SIR FRANCISCO BACON,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,13
2023-2024 Inicio,09H06130,UNIDAD EDUCATIVA PARTICULAR SOFOS,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,127
2023-2024 Inicio,13H02374,UNIDAD EDUCATIVA PARTICULAR STELLA MARIS,MANABI,13,MANTA,1308,"Educación Inicial, Educación General Básica y Bachillerato",Particular,67
2023-2024 Inicio,01H00271,UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,72
2023-2024 Inicio,23H00701,UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,Educación General Básica y Bachillerato,Particular,53
2023-2024 Inicio,09H02424,UNIDAD EDUCATIVA PARTICULAR SUIZA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,6
2023-2024 Inicio,17H03242,UNIDAD EDUCATIVA PARTICULAR SUYANA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,31
2023-2024 Inicio,09H06677,UNIDAD EDUCATIVA PARTICULAR TALMUD DE JEHOVÁ,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,15
2023-2024 Inicio,17H00054,UNIDAD EDUCATIVA PARTICULAR TEILHARD DE CHARDIN,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,21
2023-2024 Inicio,09H03570,UNIDAD EDUCATIVA PARTICULAR TEODORO KELLY,GUAYAS,9,DURAN,907,"Educación Inicial, Educación General Básica y Bachillerato",Particular,48
2023-2024 Inicio,23H00199,UNIDAD EDUCATIVA PARTICULAR TERCER MILENIO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"Educación Inicial, Educación General Básica y Bachillerato",Particular,7
