anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,1.0,AZUAY,107.0,SAN FERNANDO,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",303180.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,MANUFACTURA,113330.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,100110.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,CONSTRUCCIÓN,349820.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,COMERCIO,292970.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",144050.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ALOJAMIENTO Y SERVICIOS DE COMIDA,20350.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ACTIVIDADES FINANCIERAS,786280.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,412570.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ADMINISTRACIÓN PÚBLICA,2617970.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ENSEÑANZA,556870.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,SALUD,49740.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,OTROS SERVICIOS,101390.0
2023,1.0,AZUAY,107.0,SAN FERNANDO,ECONOMÍA TOTAL,5848630.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",4710320.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,EXPLOTACIÓN DE MINAS Y CANTERAS,6738490.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,MANUFACTURA,478460.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,855510.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,CONSTRUCCIÓN,9281370.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,COMERCIO,4606380.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",1978520.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ALOJAMIENTO Y SERVICIOS DE COMIDA,404860.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ACTIVIDADES FINANCIERAS,6169930.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,2507210.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ADMINISTRACIÓN PÚBLICA,7826260.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ENSEÑANZA,3357790.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,SALUD,1269010.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,OTROS SERVICIOS,238440.0
2023,1.0,AZUAY,108.0,SANTA ISABEL,ECONOMÍA TOTAL,50422550.0
2023,1.0,AZUAY,109.0,SIGSIG,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",2248220.0
2023,1.0,AZUAY,109.0,SIGSIG,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,109.0,SIGSIG,MANUFACTURA,459830.0
2023,1.0,AZUAY,109.0,SIGSIG,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,539200.0
2023,1.0,AZUAY,109.0,SIGSIG,CONSTRUCCIÓN,2469850.0
2023,1.0,AZUAY,109.0,SIGSIG,COMERCIO,4284060.0
2023,1.0,AZUAY,109.0,SIGSIG,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",1282190.0
2023,1.0,AZUAY,109.0,SIGSIG,ALOJAMIENTO Y SERVICIOS DE COMIDA,122700.0
2023,1.0,AZUAY,109.0,SIGSIG,ACTIVIDADES FINANCIERAS,4987560.0
2023,1.0,AZUAY,109.0,SIGSIG,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,1770520.0
2023,1.0,AZUAY,109.0,SIGSIG,ADMINISTRACIÓN PÚBLICA,9368280.0
2023,1.0,AZUAY,109.0,SIGSIG,ENSEÑANZA,4592390.0
2023,1.0,AZUAY,109.0,SIGSIG,SALUD,701880.0
2023,1.0,AZUAY,109.0,SIGSIG,OTROS SERVICIOS,248080.0
2023,1.0,AZUAY,109.0,SIGSIG,ECONOMÍA TOTAL,33074760.000000004
2023,1.0,AZUAY,110.0,OÑA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",276340.0
2023,1.0,AZUAY,110.0,OÑA,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,110.0,OÑA,MANUFACTURA,37050.0
2023,1.0,AZUAY,110.0,OÑA,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,94790.0
2023,1.0,AZUAY,110.0,OÑA,CONSTRUCCIÓN,349710.0
2023,1.0,AZUAY,110.0,OÑA,COMERCIO,449210.0
2023,1.0,AZUAY,110.0,OÑA,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",231980.0
2023,1.0,AZUAY,110.0,OÑA,ALOJAMIENTO Y SERVICIOS DE COMIDA,62650.0
2023,1.0,AZUAY,110.0,OÑA,ACTIVIDADES FINANCIERAS,281670.0
2023,1.0,AZUAY,110.0,OÑA,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,716600.0
2023,1.0,AZUAY,110.0,OÑA,ADMINISTRACIÓN PÚBLICA,2291220.0
2023,1.0,AZUAY,110.0,OÑA,ENSEÑANZA,615530.0
2023,1.0,AZUAY,110.0,OÑA,SALUD,617490.0
2023,1.0,AZUAY,110.0,OÑA,OTROS SERVICIOS,61900.0
2023,1.0,AZUAY,110.0,OÑA,ECONOMÍA TOTAL,6086140.0
2023,1.0,AZUAY,111.0,CHORDELEG,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",356680.0
2023,1.0,AZUAY,111.0,CHORDELEG,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,111.0,CHORDELEG,MANUFACTURA,1970520.0
2023,1.0,AZUAY,111.0,CHORDELEG,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,293670.0
2023,1.0,AZUAY,111.0,CHORDELEG,CONSTRUCCIÓN,682640.0
2023,1.0,AZUAY,111.0,CHORDELEG,COMERCIO,2706370.0
2023,1.0,AZUAY,111.0,CHORDELEG,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",185470.0
2023,1.0,AZUAY,111.0,CHORDELEG,ALOJAMIENTO Y SERVICIOS DE COMIDA,103690.0
2023,1.0,AZUAY,111.0,CHORDELEG,ACTIVIDADES FINANCIERAS,2274910.0
2023,1.0,AZUAY,111.0,CHORDELEG,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,863430.0
2023,1.0,AZUAY,111.0,CHORDELEG,ADMINISTRACIÓN PÚBLICA,5776610.0
2023,1.0,AZUAY,111.0,CHORDELEG,ENSEÑANZA,2598670.0
2023,1.0,AZUAY,111.0,CHORDELEG,SALUD,252090.0
2023,1.0,AZUAY,111.0,CHORDELEG,OTROS SERVICIOS,131860.0
2023,1.0,AZUAY,111.0,CHORDELEG,ECONOMÍA TOTAL,18196610.0
2023,1.0,AZUAY,112.0,EL PAN,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",304140.0
2023,1.0,AZUAY,112.0,EL PAN,EXPLOTACIÓN DE MINAS Y CANTERAS,1830.0
2023,1.0,AZUAY,112.0,EL PAN,MANUFACTURA,11960.0
2023,1.0,AZUAY,112.0,EL PAN,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,54410.0
