provincia,anio,ciiu,total_vab_miles_usd
BOLÍVAR,2023,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",15600230.0
BOLÍVAR,2024,ACTIVIDADES FINANCIERAS,32696080.0
BOLÍVAR,2024,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,18444070.0
BOLÍVAR,2024,ADMINISTRACIÓN PÚBLICA,39454620.0
BOLÍVAR,2024,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",339155430.0
BOLÍVAR,2024,ALOJAMIENTO Y SERVICIOS DE COMIDA,955900.0
BOLÍVAR,2024,COMERCIO,53203960.0
BOLÍVAR,2024,CONSTRUCCIÓN,24700620.0
BOLÍVAR,2024,ECONOMÍA TOTAL,626360880.0
BOLÍVAR,2024,ENSEÑANZA,65940620.0
BOLÍVAR,2024,EXPLOTACIÓN DE MINAS Y CANTERAS,1011100.0
BOLÍVAR,2024,MANUFACTURA,4839430.0
BOLÍVAR,2024,OTROS SERVICIOS,8446440.0
BOLÍVAR,2024,SALUD,16698820.0
BOLÍVAR,2024,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,4442200.0
BOLÍVAR,2024,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",16371590.0
CARCHI,2018,ACTIVIDADES FINANCIERAS,29502160.0
CARCHI,2018,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,23305080.0
CARCHI,2018,ADMINISTRACIÓN PÚBLICA,96045710.0
CARCHI,2018,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",182024660.0
CARCHI,2018,ALOJAMIENTO Y SERVICIOS DE COMIDA,4311790.0
CARCHI,2018,COMERCIO,64140970.0
CARCHI,2018,CONSTRUCCIÓN,24708380.0
CARCHI,2018,ECONOMÍA TOTAL,599036590.0
CARCHI,2018,ENSEÑANZA,45716850.0
CARCHI,2018,EXPLOTACIÓN DE MINAS Y CANTERAS,94360.0
CARCHI,2018,MANUFACTURA,33560090.0
CARCHI,2018,OTROS SERVICIOS,9084960.0
CARCHI,2018,SALUD,11958360.0
CARCHI,2018,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,6965960.0
CARCHI,2018,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",67617260.0
CARCHI,2019,ACTIVIDADES FINANCIERAS,28536410.0
CARCHI,2019,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,27090860.0
CARCHI,2019,ADMINISTRACIÓN PÚBLICA,87548730.0
CARCHI,2019,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",199573520.0
CARCHI,2019,ALOJAMIENTO Y SERVICIOS DE COMIDA,4801340.0
CARCHI,2019,COMERCIO,65259470.0
CARCHI,2019,CONSTRUCCIÓN,22767110.0
CARCHI,2019,ECONOMÍA TOTAL,604673190.0
CARCHI,2019,ENSEÑANZA,44817260.0
CARCHI,2019,EXPLOTACIÓN DE MINAS Y CANTERAS,134770.0
CARCHI,2019,MANUFACTURA,22935480.0
CARCHI,2019,OTROS SERVICIOS,11451080.0
CARCHI,2019,SALUD,11773430.0
CARCHI,2019,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,8198080.0
CARCHI,2019,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",69785650.0
CARCHI,2020,ACTIVIDADES FINANCIERAS,25699320.0
CARCHI,2020,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,20706010.0
CARCHI,2020,ADMINISTRACIÓN PÚBLICA,90238970.0
CARCHI,2020,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",178366800.0
CARCHI,2020,ALOJAMIENTO Y SERVICIOS DE COMIDA,3314010.0
CARCHI,2020,COMERCIO,50433880.0
CARCHI,2020,CONSTRUCCIÓN,14100510.0
CARCHI,2020,ECONOMÍA TOTAL,532325520.0
CARCHI,2020,ENSEÑANZA,40029040.0
CARCHI,2020,EXPLOTACIÓN DE MINAS Y CANTERAS,50900.0
CARCHI,2020,MANUFACTURA,20186200.0
CARCHI,2020,OTROS SERVICIOS,9040820.0
CARCHI,2020,SALUD,12111170.0
CARCHI,2020,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,7785580.0
CARCHI,2020,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",60262310.0
CARCHI,2021,ACTIVIDADES FINANCIERAS,32542940.0
CARCHI,2021,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,20706540.0
CARCHI,2021,ADMINISTRACIÓN PÚBLICA,96047410.0
CARCHI,2021,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",177640740.0
CARCHI,2021,ALOJAMIENTO Y SERVICIOS DE COMIDA,4023570.0
CARCHI,2021,COMERCIO,62411950.0
CARCHI,2021,CONSTRUCCIÓN,18484080.0
CARCHI,2021,ECONOMÍA TOTAL,569486420.0
CARCHI,2021,ENSEÑANZA,40872190.0
CARCHI,2021,EXPLOTACIÓN DE MINAS Y CANTERAS,45020.0
CARCHI,2021,MANUFACTURA,19190470.0
CARCHI,2021,OTROS SERVICIOS,10872540.0
CARCHI,2021,SALUD,10677570.0
CARCHI,2021,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,9545710.0
CARCHI,2021,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",66425690.0
CARCHI,2022,ACTIVIDADES FINANCIERAS,33219000.0
CARCHI,2022,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,27724930.0
CARCHI,2022,ADMINISTRACIÓN PÚBLICA,102905540.0
CARCHI,2022,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",162330620.0
CARCHI,2022,ALOJAMIENTO Y SERVICIOS DE COMIDA,3721870.0
CARCHI,2022,COMERCIO,72340650.0
CARCHI,2022,CONSTRUCCIÓN,20166150.0
CARCHI,2022,ECONOMÍA TOTAL,595048780.0
CARCHI,2022,ENSEÑANZA,45448160.0
CARCHI,2022,EXPLOTACIÓN DE MINAS Y CANTERAS,224650.0
CARCHI,2022,MANUFACTURA,18065480.0
CARCHI,2022,OTROS SERVICIOS,12408240.0
CARCHI,2022,SALUD,12102850.0
CARCHI,2022,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,8352000.0
CARCHI,2022,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",76038640.0
CARCHI,2023,ACTIVIDADES FINANCIERAS,37177750.0
CARCHI,2023,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,23677080.0
CARCHI,2023,ADMINISTRACIÓN PÚBLICA,58641310.0
CARCHI,2023,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",207467720.0
CARCHI,2023,ALOJAMIENTO Y SERVICIOS DE COMIDA,1742330.0
CARCHI,2023,COMERCIO,66919350.0
CARCHI,2023,CONSTRUCCIÓN,24923900.0
CARCHI,2023,ECONOMÍA TOTAL,592439460.0
CARCHI,2023,ENSEÑANZA,51080610.0
CARCHI,2023,EXPLOTACIÓN DE MINAS Y CANTERAS,89710.0
CARCHI,2023,MANUFACTURA,19106320.0
CARCHI,2023,OTROS SERVICIOS,9703490.0
CARCHI,2023,SALUD,12076150.0
CARCHI,2023,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,6180700.0
CARCHI,2023,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",73653040.0
